feature	input_col	second_input	aggregate_function	fill_value	nice_name
numTSSEnhGene	numTSSEnhGene	NA	max	0	# TSSs between E and P
distanceToTSS	distance	NA	min	NA	Distance to TSS
normalizedATAC_enh	normalized_atac_enh	NA	mean	0	ATAC signal at E
normalizedATAC_prom	TargetGenePromoterActivityQuantile	NA	mean	0	ATAC signal at P
numNearbyEnhancers	numNearbyEnhancers	NA	max	0	# peaks within 5 kb of E
sumNearbyEnhancers	sumNearbyEnhancers	NA	max	0	Activity of other peaks within 5 kb of E
ubiqExpressed	is_ubiquitous_uniform	NA	max	0	Ubiquitous expression
numCandidateEnhGene	numCandidateEnhGene	NA	max	0	# peaks between E and P
contactFrequency	hic_contact_pl_scaled_adj	NA	mean	0	Contact frequency
ARC.E2G.Score	ARC.E2G.Score	NA	mean	0	ARC-E2G score
